reduced_formula,spacegroup_number
EuScZn,216
EuSiAg,187
EuSnRh2,225
EuTaPt,216
EuTiO3,221
EuZnGa,12
EuZnGe,51
EuZnGe,187
EuZnIn,12
EuZnIn3,107
EuZnPt,216
Fe(BW)2,71
Fe(BW)2,127
Fe(RhS2)2,227
Fe2AsAu,216
Fe2B,123
Fe2B4Mo,71
Fe2CoGe,225
Fe2CoSi,216
Fe2CuGe2,51
Fe2Re3,213
Fe2SiGe,225
Fe2SiNi,216
Fe2W,194
Fe3Cu,139
Fe3N,20
Fe3Pd,65
Fe3Pd,221
Fe3Re,194
Fe3W,194
Fe6W6C,227
FeAg3,225
FeB2,62
FeB2,191
FeB4,58
FeBMo,63
FeBW,62
FeBiO3,62
FeCo2Ge,225
FeCo2Si,225
FeCo3,221
FeCu2Sn,225
FeCuNi,156
FeCuPt2,123
FeCuRh2,71
FeGe,191
FeGeIr,216
FeGeMo,216
FeGeRu2,225
FeGeW,216
FeNiMo,216
FeO,225
FePbW,216
FePbW2,216
FePd,123
FePd3,221
FeRe,187
FeRuPt,216
FeS2,205
FeSbMo,216
FeSe2,58
FeSi,198
FeSi2Ru,225
FeSi2Tc,225
FeSiMo,216
FeSiRu2,225
FeSiTc2,225
FeSiW,216
FeSnMo,216
FeSnRh2,139
FeSnRh2,225
FeSnRu2,225
FeSnW,216
FeTc2Ge,225
FeTcGe,216
FeTe,129
FeTe2,58
FeWC,216
FeWN2,194
Ga,12
Ga2AgRu,216
Ga2AgRu,225
Ga2AsRu,216
Ga2AsRu,225
Ga2Au,225
Ga2BRu,216
Ga2BRu,225
Ga2BSb,225
Ga2BiAs,115
Ga2BiRu,216
Ga2BiRu,225
Ga2CoAs,216
Ga2CoRu,123
Ga2CoRu,216
Ga2CoRu,225
Ga2Cu,123
Ga2Cu,225
Ga2CuPt,225
Ga2FeIr,225
Ga2FeNi,225
Ga2FeRh,225
Ga2HgTe4,82
Ga2IrRh,225
Ga2IrRu,225
Ga2Ni,123
Ga2Ni,225
Ga2NiRu,225
Ga2O3,12
Ga2Os,70
Ga2P,21
Ga2P,47
Ga2PbSe4,66
Ga2PdRu,123
Ga2Pt,225
Ga2Rh,71
Ga2Ru,70
Ga2Ru,227
Ga2RuAu,216
Ga2RuAu,225
Ga2RuAu2,139
Ga2RuPt,71
Ga2RuPt,225
Ga2RuRh,123
Ga2RuRh,225
Ga2TeO6,136
Ga3(BRu2)2,123
Ga3Ag,139
Ga3Ag,194
Ga3Ag,225
Ga3As,221
Ga3Au,225
Ga3B,221
Ga3Bi,221
Ga3Co,136
Ga3Cu,221
Ga3Ge,221
Ga3Ni2,164
Ga3Ni5,65
Ga3Os,136
Ga3Pd5,55
Ga3Pd7,12
Ga3Pt2,164
Ga3Ru,136
Ga3Sb,139
Ga40AgMo8,148
Ga4Cu9,215
Ga5Ag13,1
Ga5Pd,140
Ga5W2,127
Ga7Ni3,229
GaAg,221
GaAg2,189
GaAg2Ru,216
GaAg2Ru,225
GaAg3,187
GaAg3,194
GaAg3,221
GaAgO2,194
GaAgRu,216
GaAgRu2,216
GaAgRu2,225
GaAgS2,122
GaAgSn,216
GaAgTe2,122
GaAs,44
GaAs,123
GaAs,186
GaAs,205
GaAs,216
GaAs2,25
GaAs2Ru,216
GaAs2Ru,225
GaAs2W,216
GaAsAu,216
GaAsPd2,99
GaAsPd5,123
GaAsRu,216
GaAsRu2,225
GaAu,62
GaAu2,36
GaAuO2,194
GaB2,12
GaB2,47
GaB2Ru,216
GaB2Ru,225
GaBRu,216
GaBRu2,225
GaBi,216
GaBi2Ru,216
GaBi2Ru,225
GaBi3,221
GaBiO3,54
GaBiO3,221
GaBiRu,216
GaBiRu2,225
GaCo,221
GaCo2Mo,123
GaCo2Ni,123
GaCo2Ni,139
GaCo2Ni,225
GaCo2Tc,123
GaCoMo,216
GaCoNi,187
GaCoNi2,225
GaCoRu,216
GaCoRu2,216
GaCoRu2,225
GaCoW,216
GaCu2,139
GaCu3,139
GaCuO2,194
GaCuPd2,71
GaCuPdRh,216
GaCuPt,187
GaCuPt2,123
GaCuPt2,225
GaCuRh2,225
GaCuS2,122
GaCuTe2,122
GaFe2Co,225
GaFe2Ni,225
GaFe3,194
GaFe3,221
GaFeCo2,225
GaFeNi2,123
GaFeNi2,225
GaFeRh2,225
GaFeRu2,71
GaFeRu2,225
GaFeTcW,216
GaGeRu2,225
GaIr,221
GaIrW,216
GaMo3,223
GaN,186
GaN,216
GaNi,221
GaNi2,194
GaNi2Pt,123
GaNi3,139
GaNi3,221
GaNi6Sb,187
GaNiAs,216
GaNiGe,216
GaNiRh2,123
GaNiRh2,225
GaP,12
GaP,119
GaP,166
GaP,186
GaP,216
GaP,225
GaP2Pd,115
GaP2Pt,115
GaPPd2,99
GaPPd5,123
GaPPt2,99
GaPPt5,123
GaPd,198
GaPd,221
GaPd3,194
GaPd3,221
GaPt,198
GaPt3,127
GaPt3,140
GaPt3,221
GaReAs,216
GaReTc2,71
GaRh,221
GaRh3,139
GaRhW,216
GaRu,221
GaRu2Au,216
GaRu2Au,225
GaRuAu,216
GaRuAu2,216
GaRuAu2,225
GaRuPt,216
GaRuRh2,99
GaSb,119
GaSb,186
GaSb,216
GaSi3,225
GaSiAs,216
GaSiNi,216
GaSiRu2,225
GaSnAu,216
GaSnHg,216
GaSnRu2,71
GaTc2W,225
GaTcRuW,216
Gd(Al5Ru)2,63
Gd(AlC)3,194
Gd2AlRu,225
Gd2AlZn,225
Gd2GaAg,225
Gd2Hf2O7,227
Gd2IrRu,225
Gd2Sn2O7,227
Gd2Ti2O7,227
Gd2ZnAg,225
Gd2ZnGa,225
Gd2ZnIn,225
Gd2Zr2O7,227
Gd3AlC,221
Gd3GaO6,36
Gd3Ge13Ru4,223
Gd3InN,221
GdAg,221
GdAlGa,187
GdAlO3,62
GdAlRu2,225
GdAlZn,194
GdAlZnGe2,156
GdBiPd,216
GdBiPt,216
GdCuSi,187
GdGa3Ru,221
GdGeRu,62
GdHfPt,216
GdHfSc,216
GdMoC2,62
GdNbPt,216
GdNiBi,216
GdNiSb,216
GdPaRu2,225
GdPbAu,216
GdRuPt,216
GdSbPt,216
GdScIn,216
GdScNb,216
GdScRu,216
GdScTa,216
GdScZn,216
GdSnAu,216
GdTaPt,216
GdVO4,141
GdZnGa,194
GdZnGe,187
GdZnIn,194
GdZnPt,216
GdZnSi,187
Ge,141
Ge,194
Ge,206
Ge,227
Ge(SeO3)2,205
Ge2AsRu,216
Ge2AsRu,225
Ge2AsRu2,139
Ge2BRu,216
Ge2BRu,225
Ge2BiRu,216
Ge2BiRu,225
Ge2Mo,62
Ge2Mo,139
Ge2Pt,58
Ge2RuAu,216
Ge2RuAu,225
Ge2W,62
Ge2W,139
Ge3As4,215
Ge3Ir2S3,200
Ge3Mo5,140
Ge3Mo5C,193
Ge3N4,176
Ge3N4,220
Ge3N4,227
Ge3Pd,221
Ge3Pt2,62
Ge3Rh5,55
Ge3Ru2,60
Ge3Ru2,116
Ge3W5,140
Ge7Ir3,229
GeAs,107
GeAs2Ru,216
GeAs2Ru,225
GeAsRh2,216
GeAsRu,216
GeAsRu2,225
GeAsW,12
GeB2Ru,216
GeB2Ru,225
GeBRu,216
GeBRu2,225
GeBi2Ru,216
GeBi2Ru,225
GeBiRu,216
GeBiRu2,225
GeC,216
GeC,225
GeMo3,223
GeO2,60
GeO2,136
GeO2,205
GeOsW,216
GeP,107
GePbO3,221
GePd,62
GePd2,189
GePt2,189
GePtRh,216
GePtSe,29
GeRh,198
GeRh2,62
GeRu,198
GeRu2Au,216
GeRu2Au,225
GeRuAu,216
GeRuAu2,216
GeRuAu2,225
GeRuPt,216
GeS2,122
GeSe,225
GeTe,225
H2W,62
HPd,225
HW,194
Hf,191
Hf,194
Hf(AgGe)2,139
Hf(Al2Fe)4,139
Hf(AlFe)6,71
Hf(BH4)4,215
Hf(CoB)2,139
Hf(CoGe)6,191
Hf(CoSi)2,139
Hf(CuP)2,164
Hf(FeAs)2,139
Hf(FeB)2,139
Hf(FeGe)2,139
Hf(FeGe)6,191
Hf(FeP)2,139
Hf(FeSi)2,57
Hf(FeSi)2,139
Hf(GaFe)6,71
Hf(GeAu)2,139
Hf(MnB)2,139
Hf(MnGe)2,139
Hf(MnGe)6,191
Hf(MnSn)6,191
Hf(NiB)2,139
Hf(SiNi)2,139
Hf(TiAl2)2,139
Hf(VGa2)2,139
Hf(VGe)2,139
Hf(VSi)2,139
Hf10(AlSi)3,189
Hf10SiMo3,194
Hf2(Ni7B2)3,225
Hf20Si12B,10
Hf27(Si3P5)2,71
Hf2Ag,139
Hf2AgGe,216
Hf2AgGe,225
Hf2AgGe2,139
Hf2Al,140
Hf2Al3Ag,166
Hf2Al3C4,194
Hf2Al3Zn,166
Hf2AlFe,216
Hf2AlFe,225
Hf2AlGe,225
Hf2AlGe2,139
Hf2AlMo,123
Hf2AlSi,38
Hf2AlTc,123
Hf2Au,139
Hf2B,166
Hf2BeCu,99
Hf2BeFe,99
Hf2BeFe,216
Hf2BeFe,225
Hf2BeGa,99
Hf2BeGe,216
Hf2BeGe,225
Hf2BeMo,225
Hf2BeNi,99
Hf2BeRe,71
Hf2BeTc,225
Hf2BeV,225
Hf2BeW,225
Hf2BeZn,225
Hf2Bi,12
Hf2BiB,216
Hf2CS,194
Hf2Cd,139
Hf2CdGe,216
Hf2CdGe,225
Hf2Co3Si4,60
Hf2Co7,12
Hf2CoIr,225
Hf2CoP,11
Hf2CoRe,225
Hf2CoRu,71
Hf2CoTc,225
Hf2Cr3Si,194
Hf2Cr4Si5,72
Hf2Cu,139
Hf2CuGe4,63
Hf2CuMo,71
Hf2CuOs,225
Hf2CuRe,225
Hf2CuRh,225
Hf2CuSb3,115
Hf2CuSi3,123
Hf2CuSi4,63
Hf2CuTc,71
Hf2Fe,227
Hf2Fe2As,139
Hf2Fe3Si,194
Hf2FeAg,216
Hf2FeAg,225
Hf2FeAs,216
Hf2FeAs,225
Hf2FeAs2,139
Hf2FeAu,216
Hf2FeAu,225
Hf2FeB,216
Hf2FeB,225
Hf2FeBi,216
Hf2FeBi,225
Hf2FeCo,71
Hf2FeCu,71
Hf2FeIr,225
Hf2FeOs,225
Hf2FeRe,71
Hf2FeRh,71
Hf2FeRh,225
Hf2FeRu,71
Hf2FeTc,225
Hf2Ga,140
Hf2Ga3,43
Hf2Ga3Cu,8
Hf2GaMo,123
Hf2GaSb3,115
Hf2Ge,140
Hf2GeAs,225
Hf2GeAs2,139
Hf2GeAu,216
Hf2GeAu,225
Hf2GeAu2,139
Hf2GeB,225
Hf2GeBi,225
Hf2H2Pd,139
Hf2Hg,139
Hf2In,71
Hf2In5,127
Hf2InC,194
Hf2InNi2,127
Hf2InPd2,127
Hf2Ir,227
Hf2IrRh,225
Hf2IrRu,225
Hf2MgBe,123
Hf2MgRe,71
Hf2MgZr3,123
Hf2MnCo,71
Hf2MnCo,123
Hf2MnFe,139
Hf2MnOs,225
Hf2MnRh,225
Hf2MnZn,166
Hf2MoIr,225
Hf2MoOs,123
Hf2MoOs,225
Hf2MoPd,71
Hf2MoPt,71
Hf2MoPt,225
Hf2MoRh,225
Hf2Nb3Ge4,62
Hf2NbAl,123
Hf2NbPd,123
Hf2NbZn,123
Hf2Ni,140
Hf2Ni2Sn,127
Hf2Ni2Sn,136
Hf2NiMo,71
Hf2OsPd,225
Hf2OsRh,225
Hf2OsRu,123
Hf2Pd,139
Hf2Pd,227
Hf2PdRh,71
Hf2ReAg,71
Hf2ReHg,71
Hf2ReIr,225
Hf2ReRh,225
Hf2ReRu,71
Hf2Rh,227
Hf2RuRh,123
Hf2RuRh,225
Hf2S,194
Hf2Sb3Pd,115
Hf2SbP,194
Hf2Sc3Si4,92
Hf2ScAl,123
Hf2ScIr,225
Hf2Si,123
Hf2Si,140
Hf2Si4Mo3,62
Hf2Si4Ni3,64
Hf2Si4Ru3,15
Hf2SiAs3,115
Hf2SiMo3,194
Hf2SiNi3,194
Hf2Tc,139
Hf2TcMo,123
Hf2TcMo,225
Hf2TcNi,225
Hf2TcOs,123
Hf2TcOs,225
Hf2TcPd,225
Hf2TcRh,225
Hf2TcRu,123
Hf2TcRu,225
Hf2TcSb3,115
Hf2Ti,139
Hf2TiAl,123
Hf2TiIr,71
Hf2TiSn,123
Hf2V3Ge,194
Hf2VOs,71
Hf2VSi2,123
Hf2Zn,139
Hf2ZnCu,225
Hf2ZnFe,71
Hf2ZnHg,12
Hf2ZnOs,71
Hf2ZnRe,225
Hf2ZnRh,71
Hf2ZnTc,71
Hf2Zr,191
Hf2ZrMn,123
Hf2ZrTi,123
Hf3(Cu2Ge)2,189
Hf3(Cu2Si)2,189
Hf3(CuSi)4,71
Hf3(NbGe2)2,62
Hf3(Ni10B3)2,225
Hf3(NiGe)4,71
Hf3Ag,221
Hf3Al,221
Hf3Al2,136
Hf3AlGe5,38
Hf3As2,62
Hf3Au,221
Hf3B,71
Hf3B2Ir5,127
Hf3Be,139
Hf3Bi,139
Hf3Co2Si3,63
Hf3Fe2Si3,63
Hf3Ge,86
Hf3Ge,139
Hf3Ge2,127
Hf3GeMo8,156
Hf3Hg,139
Hf3In,139
Hf3In4,127
Hf3InB,221
Hf3Nb2Ga3,193
Hf3Ni,194
Hf3Os,225
Hf3P2,62
Hf3Pb,139
Hf3Pb,194
Hf3Pb,221
Hf3Pt,194
Hf3Rh,139
Hf3Rh5,55
Hf3Ru,71
Hf3Sb,82
Hf3Sb2,123
Hf3Sc,221
Hf3ScSi4,6
Hf3Si,139
Hf3Si,194
Hf3Si2,127
Hf3Si3Ni2,63
Hf3SiMo8,156
Hf3Sn,139
Hf3TaFe8,156
Hf3Ti,221
Hf3Tl,139
Hf3Zn3C,227
Hf3Zn3N,227
Hf4AgPd,123
Hf4Al3,191
Hf4AlSi,97
Hf4BePb,216
Hf4Co4Ge7,139
Hf4Co4Si7,139
Hf4Co7Ge6,229
Hf4CuP,124
Hf4CuSi3,25
Hf4CuSi4,12
Hf4Fe,227
Hf4Fe4Ge7,139
Hf4Fe7As6,229
Hf4FeP,124
Hf4GeSb7,6
Hf4NbGe4,62
Hf4NiP,124
Hf4Si7Ni4,139
Hf4USi4,76
Hf4ZnGa11,99
Hf5Al3N,193
Hf5CuPb3,193
Hf5CuSn3,193
Hf5FeSb2,140
Hf5Ga3,193
Hf5Ge3,193
Hf5Ge4,62
Hf5Ir3,193
Hf5P7Pd9,38
Hf5Pb,123
Hf5Sb3,62
Hf5Sc,189
Hf5Sc5Ge6,38
Hf5Sc5Si6,38
Hf5ScSi4,83
Hf5Si3,193
Hf5Si4,92
Hf5Sn3,193
Hf5Sn4,193
Hf5ZnSb3,193
Hf6Al16Os7,225
Hf6Al16Pd7,225
Hf6Al16Pt7,225
Hf6Al16Rh7,225
Hf6Al2Fe,189
Hf6Al2Pt,189
Hf6Co16Ge7,225
Hf6Co16Si7,225
Hf6CoBi2,189
Hf6CoSb2,189
Hf6Fe16Si7,225
Hf6FeSb2,189
Hf6Ga2Fe,189
Hf6Ga2Ni,189
Hf6Ni16Ge7,225
Hf6NiSb2,189
Hf6Si7Ni16,225
Hf6Zn16Cu7,225
Hf8GeMo5,38
Hf9FeMo4,194
Hf9FeRe4,194
Hf9FeW4,194
Hf9GeMo4,194
Hf9Re4Ge,194
Hf9Re4Si,194
Hf9SiMo4,194
HfAg,129
HfAg2Ge,216
HfAg2Ge,225
HfAgAu2,71
HfAgB,216
HfAgGe,216
HfAgGe2,216
HfAgGe2,225
HfAgPt,216
HfAl,63
HfAl2,194
HfAl2Au,123
HfAl2Cu,123
HfAl2Fe,216
HfAl2Fe,225
HfAl2Ga,139
HfAl2Ge,216
HfAl2Ge,225
HfAl2Pd,123
HfAl2Zn,123
HfAl3,139
HfAl3,221
HfAl4Ir,123
HfAl4Rh,123
HfAl5Fe,123
HfAl5Rh,123
HfAlAg,216
HfAlAu,216
HfAlAu2,225
HfAlCo2,225
HfAlCoRu,216
HfAlCu2,225
HfAlCuNi,216
HfAlFe,38
HfAlFe,216
HfAlFe2,216
HfAlFe2,225
HfAlFe4,216
HfAlFeCo,216
HfAlFeRh,216
HfAlGa2,123
HfAlGe,216
HfAlGe2,216
HfAlGe2,225
HfAlIr2,225
HfAlNi2,225
HfAlNiPd,216
HfAlPd2,225
HfAlPt,189
HfAlPt,190
HfAlPt,216
HfAlPt2,225
HfAlRh2,225
HfAlRu,187
HfAlRu2,123
HfAlRu2,225
HfAlRuRh,216
HfAlZn,74
HfAlZn2,123
HfAs,194
HfAs2,62
HfAs3,139
HfAsIr,216
HfAsPt,216
HfAsRh,216
HfAsRh2,99
HfAsRh5,123
HfAsRu,189
HfAu,129
HfAu2,139
HfAu4,62
HfB,225
HfB12,225
HfB2,191
HfB3,47
HfB4Ir3,176
HfB6,221
HfBAu,216
HfBPt,216
HfBRh3,221
HfBe,63
HfBe13,226
HfBe2,191
HfBe2Bi,216
HfBe2Co,123
HfBe2Fe,99
HfBe2Fe,123
HfBe2Fe,216
HfBe2Fe,225
HfBe2Ge,119
HfBe2Ge,216
HfBe2Ge,225
HfBe2Ni,99
HfBe2Ru,119
HfBe2V,65
HfBe2W,99
HfBe2Zn,99
HfBe4Fe,216
HfBe4Rh,216
HfBe4Tc,216
HfBe5,191
HfBeAu2,71
HfBeBi,107
HfBeCd,107
HfBeCd2,216
HfBeCo2,99
HfBeCo4,216
HfBeCu,187
HfBeFe,216
HfBeFe2,216
HfBeFe2,225
HfBeFe4,216
HfBeGa,107
HfBeGe,216
HfBeGe2,216
HfBeGe2,225
HfBeIr2,225
HfBeNb2,119
HfBeNi,107
HfBeP,187
HfBeP2,99
HfBePb2,119
HfBePd,107
HfBePt,216
HfBeRh2,99
HfBeRh2,225
HfBeRu,99
HfBeRu,107
HfBeRu2,99
HfBeSb2,119
HfBeSi,107
HfBeSi,194
HfBeSn,187
HfBeTc,107
HfBeTc2,99
HfBeV,107
HfBeZn,107
HfBeZn2,99
HfBiIr,216
HfBiPt,216
HfBiRh,216
HfBiRh2,225
HfC,216
HfC,225
HfCd,129
HfCd2Ge,216
HfCd2Ge,225
HfCdCu2,225
HfCdGe,216
HfCdGe2,216
HfCdGe2,225
HfCdPt,216
HfCdRh,187
HfCdRh2,225
HfCo,221
HfCo2,227
HfCo2Ge,225
HfCo2Ir,225
HfCo2Sn,225
HfCo3B,221
HfCo3B2,191
HfCoAs,62
HfCoAs,216
HfCoB,187
HfCoBi,216
HfCoGe,62
HfCoGe,187
HfCoP,62
HfCoP,187
HfCoP,216
HfCoPt,216
HfCoSb,216
HfCoSi,38
HfCoSi,62
HfCoSi,129
HfCoSn,189
HfCoSn,190
HfCr2,227
HfCrAu2,71
HfCrGe2,55
HfCrPt,216
HfCrSi,62
HfCrSi2,55
HfCu2Si,225
HfCuB,216
HfCuGe,62
HfCuGe,139
HfCuGe2,129
HfCuGeAs,129
HfCuHg2,216
HfCuP,156
HfCuPt,216
HfCuSb,216
HfCuSi,62
HfCuSi,216
HfCuSi2,129
HfCuSn,186
HfFe2,194
HfFe2,227
HfFe2Ag,216
HfFe2Ag,225
HfFe2As,216
HfFe2As,225
HfFe2Au,216
HfFe2Au,225
HfFe2B,216
HfFe2B,225
HfFe2Bi,216
HfFe2Bi,225
HfFe2Ge,225
HfFe2Sn,225
HfFeAg,216
HfFeAg2,216
HfFeAg2,225
HfFeAs,62
HfFeAs,216
HfFeAs2,216
HfFeAs2,225
HfFeAu,216
HfFeAu2,216
HfFeAu2,225
HfFeB,216
HfFeB2,216
HfFeB2,225
HfFeBi,216
HfFeBi2,216
HfFeBi2,225
HfFeGe,189
HfFeGe2,55
HfFeGe2,99
HfFeP,62
HfFePt,216
HfFeSb,62
HfFeSe,216
HfFeSi,62
HfFeSi2,71
HfFeTe,216
HfGa2,141
HfGa2Ag,123
HfGa2Co,107
HfGa2Ir,225
HfGa2Rh,225
HfGa2Ru,225
HfGa3,139
HfGa4Co,123
HfGa4Ir,123
HfGa4Ni,123
HfGa4Rh,123
HfGa4Ru,123
HfGa5Co,123
HfGa5Ni,123
HfGaAg,216
HfGaAu,187
HfGaAu,216
HfGaCo,189
HfGaCo2,225
HfGaCoNi,216
HfGaCoRu,216
HfGaCu,194
HfGaIr2,225
HfGaNi,189
HfGaNi2,225
HfGaNi4,216
HfGaPd,190
HfGaPt,189
HfGaPt,216
HfGaRh,189
HfGaRh2,225
HfGaRu2,225
HfGaRuRh,216
HfGe2,63
HfGe2As,216
HfGe2As,225
HfGe2Au,216
HfGe2Au,225
HfGe2B,216
HfGe2B,225
HfGe2Bi,216
HfGe2Bi,225
HfGe2Rh,55
HfGe2Ru,55
HfGeAs,216
HfGeAs2,216
HfGeAs2,225
HfGeAu,216
HfGeAu2,216
HfGeAu2,225
HfGeB,216
HfGeB2,216
HfGeB2,225
HfGeBi,216
HfGeBi2,216
HfGeBi2,225
HfGeIr,62
HfGeMo,62
HfGeOs,189
HfGePd,11
HfGePd,216
HfGePt,62
HfGePt,216
HfGeRh,62
HfGeRh,189
HfGeRh2,71
HfGeRu,189
HfGeRu2,225
HfH2,139
HfHgPt,216
HfIn3,139
HfInAu,216
HfInAu2,225
HfInCo,216
HfInCo2,225
HfInCo4,216
HfInCu2,123
HfInCu2,225
HfInNi2,225
HfInPd2,123
HfInPd2,225
HfInPt,216
HfInPt2,123
HfInRh,187
HfInRh2,139
HfInRh2,225
HfInRu2,71
HfIr,11
HfIr,51
HfIr,221
HfIr3,221
HfIrPt,216
HfMg,123
HfMg,225
HfMg14Fe,38
HfMg14Fe,187
HfMg14Si,38
HfMg14Si,187
HfMg2Be,216
HfMg3,194
HfMg6Fe,38
HfMg6Si,38
HfMgAu2,225
HfMgBe2,123
HfMgIr2,225
HfMgPd2,225
HfMgPt,216
HfMgPt2,225
HfMgRh2,123
HfMgRh2,225
HfMgRuRh,216
HfMgSc,216
HfMgZn2,71
HfMgZn2,225
HfMn2,194
HfMn2Be,99
HfMn2Be,119
HfMnBe,107
HfMnBe2,119
HfMnBe2,123
HfMnCo2,71
HfMnGe,189
HfMnGe2,55
HfMnP,62
HfMnPt,216
HfMnRh2,225
HfMnSi,62
HfMnSi2,55
HfMnTe,216
HfMnTl,216
HfMo,129
HfMo2,227
HfMoAs,216
HfMoAs2,99
HfMoP,189
HfMoPt,216
HfN,221
HfN,225
HfN2,194
HfN2,205
HfNb2W,123
HfNbB2,38
HfNbB4,71
HfNbFeTc,216
HfNbMo2,123
HfNbMo2,225
HfNbOs2,123
HfNbOs2,225
HfNbOsRu,216
HfNbP,62
HfNbPt,216
HfNbRu2,225
HfNbSi,38
HfNbTc2,123
HfNbTc2,225
HfNbTcOs,216
HfNbTcRu,216
HfNbZn2,123
HfNi2,227
HfNi2Ge,225
HfNi2Pb,225
HfNi2Sb,194
HfNi2Sn,225
HfNi3,221
HfNi4Au,216
HfNi4Ge,216
HfNi4Pb,216
HfNiC,216
HfNiGe,62
HfNiGe,216
HfNiGe2,99
HfNiP,62
HfNiP,187
HfNiPb,216
HfNiPt,216
HfNiPt2,139
HfNiRh2,123
HfNiSb,216
HfNiSn,216
HfNpPt,216
HfNpSc,216
HfO2,14
HfO2,62
HfO2,225
HfOs,221
HfOs3,221
HfOsPt,216
HfP,194
HfP2,62
HfPRh,216
HfPRu,189
HfPaPt,216
HfPaTc2,225
HfPbO3,221
HfPbS3,62
HfPd,63
HfPd,221
HfPd3,194
HfPd3,221
HfPd5,65
HfPdPb,216
HfPdPt,216
HfPdRh2,123
HfPt,63
HfPt,221
HfPt2Rh,123
HfPt3,194
HfPt3,221
HfPtAu,216
HfPtPb,8
HfPtPb,216
HfPtRh,216
HfPtW,216
HfRe2,194
HfRePt,216
HfReSi,189
HfReSi2,55
HfRh,221
HfRh2Au,123
HfRh3,221
HfRu,221
HfRu3,194
HfRu3,221
HfRuPt,216
HfS2,164
HfSO,198
HfSb,63
HfSb2,58
HfSb2,129
HfSb3,194
HfSbIr,216
HfSbPt,216
HfSbRh,216
HfSbRu,216
HfSbRu2,123
HfSc,123
HfSc,187
HfSc2Al,123
HfSc2Ir,225
HfSc3Si8,25
HfScAg,216
HfScAl,216
HfScAl4,216
HfScAs,216
HfScAu,216
HfScAu2,71
HfScB,216
HfScBe,216
HfScBe2,119
HfScBe2,123
HfScBi,216
HfScCd,216
HfScCo,216
HfScCo2,225
HfScCoTc,216
HfScCr,216
HfScCu,216
HfScFe,216
HfScGa,216
HfScGe,216
HfScGe4,38
HfScHg,216
HfScHg2,71
HfScIn,216
HfScIr,216
HfScIr2,225
HfScMn,216
HfScMo,216
HfScNb,216
HfScNi,216
HfScOs,216
HfScOs2,123
HfScOs2,225
HfScOsRu,216
HfScPa,216
HfScPb,216
HfScPd,216
HfScPt,216
HfScRe,216
HfScRh,216
HfScRh2,225
HfScRu,216
HfScRu2,123
HfScRu2,225
HfScRuRh,216
HfScSb,216
HfScSi,216
HfScSi2,38
HfScSn,216
HfScTa,216
HfScTc,216
HfScTc4,216
HfScTcNi,216
HfScTi,216
HfScTl,216
HfScU,216
HfScV,216
HfScW,216
HfScZn,216
HfScZn2,225
HfSi,62
HfSi2,63
HfSi3,139
HfSiIr,62
HfSiMo,62
HfSiNi,62
HfSiNi,216
HfSiNi2,99
HfSiNi2,194
HfSiO4,141
HfSiOs,46
HfSiOs,189
HfSiPd,62
HfSiPd,216
HfSiPt,62
HfSiPt,216
HfSiPt2,99
HfSiRh,62
HfSiRu,46
HfSiRu,189
HfSiRu2,225
HfSiTc2,71
HfSiW,38
HfSiW,62
HfSiW4,216
HfSn,198
HfSn2,181
HfSnIr,189
HfSnPd,216
HfSnPd2,99
HfSnPt,216
HfSnRh,189
HfSnRh,190
HfSnRh2,225
HfSnRu2,225
HfTa2,139
HfTa2Mo,123
HfTaFe2,71
HfTaFe4,164
HfTaMnFe,216
HfTaMo2,71
HfTaMo2,123
HfTaMo2,225
HfTaNb,107
HfTaNb2,123
HfTaOs2,71
HfTaOsRu,99
HfTaPt,216
HfTaRe2,225
HfTaRu2,225
HfTaSi,38
HfTaTc2,123
HfTaTc2,225
HfTaTcMo,216
HfTc,221
HfTc2,194
HfTc2,227
HfTc2Ge,71
HfTc2Mo,71
HfTc2Mo,123
HfTc2Sb,123
HfTc2Sb,225
HfTc2W,225
HfTcIr2,99
HfTcMoW,216
HfTcPt,216
HfTcSb,187
HfTcSb2,99
HfTeRu,216
HfThPt,216
HfThSc,216
HfThTc2,225
HfTi,187
HfTi2Al5,139
HfTi2Bi,123
HfTi2Cu,123
HfTi2InB,123
HfTi2Pd,123
HfTi2Rh,123
HfTi2Rh3,123
HfTi2Zn3,123
HfTi3,25
HfTi3,194
HfTi3,221
HfTi3Tc2,123
HfTiAs2,160
HfTiB4,191
HfTiBe2,123
HfTiCr4,216
HfTiFe2,71
HfTiFe4,164
HfTiMn2,225
HfTiMoPt,216
HfTiMoRh,216
HfTiOs2,123
HfTiOs2,225
HfTiOsRu,216
HfTiPt,216
HfTiRe2,71
HfTiRu2,123
HfTiSi,129
HfTiTc,107
HfTiTc2,123
HfTiTcOs,216
HfTiTcRh,216
HfTiZn2,225
HfTl3,139
HfTlAu,216
HfTlPt,216
HfU3Sb5,193
HfUPt,216
HfV,221
HfV2,227
HfV2O7,205
HfV2Si,225
HfV4Mo,216
HfVF6,225
HfVGe,129
HfVGe,139
HfVGe2,123
HfVP,62
HfVPt,216
HfVRh2,99
HfVSi,38
HfVSi,129
HfW2,227
HfZn,221
HfZn2,227
HfZn2Au,225
HfZn2Ga,123
HfZn2Ga,160
HfZn2Ge,123
HfZn2Pd,225
HfZn3,194
HfZn4Mo,216
HfZn4Tc,216
HfZnAu2,225
HfZnCo2,225
HfZnCu2,225
HfZnCu4,216
HfZnGa2,123
HfZnIr2,225
