reduced_formula,spacegroup_number
Al2VPt,225
Al2VRu,225
Al2W,181
Al2Zn,139
Al2Zn,164
Al2Zn2Ga,139
Al2ZnGa,216
Al2ZnGa,225
Al2ZnGa2,139
Al2ZnNi3,123
Al2ZnO4,227
Al2ZnS4,227
Al2ZnSe4,227
Al2ZnTe4,82
Al3(BRu2)2,123
Al3(Ni10B3)2,225
Al3Ag,221
Al3Co2Cu,123
Al3Co2Pd,123
Al3Cu,123
Al3Cu,221
Al3Cu2,164
Al3Ga,221
Al3Ga5Ru8,221
Al3Ir,194
Al3Ir,223
Al3Mo,12
Al3Ni,62
Al3Ni2,164
Al3NiRu2,123
Al3Os2,139
Al3Pd,221
Al3Pd2,164
Al3Pd5,55
Al3Pt5,55
Al3Ru,194
Al3Ru2,139
Al3Ru2,164
Al3V,139
Al3V,221
Al3V5,119
Al3VNi2,123
Al3Zn,221
Al3ZnCr8,123
Al3ZnNi12,123
Al4CO4,36
Al4Cu9,215
Al4GaRu5,123
Al4Ni3,230
Al4SiC4,186
Al5C3N,186
Al5C3N,194
Al5W,182
Al6Re,63
Al6Ru,63
Al6Tc,63
Al7Ag,123
Al7Cu2Ru,128
Al8Mo3,12
AlAg,187
AlAg2Ru,216
AlAg2Ru,225
AlAgB,216
AlAgO2,33
AlAgO2,194
AlAgPd,216
AlAgPd2,216
AlAgPd2,225
AlAgRu,216
AlAgRu2,216
AlAgRu2,225
AlAgS2,156
AlAgSe2,122
AlAgTe2,122
AlAs,186
AlAs,216
AlAs2Ru,216
AlAs2Ru,225
AlAsRu,216
AlAsRu2,225
AlAu2,62
AlAu2,139
AlAuO2,194
AlB2Pb,216
AlB2Ru,216
AlB2Ru,225
AlBMo,63
AlBRu2,225
AlBi,216
AlBi2Ru,216
AlBi2Ru,225
AlBiO3,221
AlBiRu,216
AlBiRu2,225
AlCd2Ru,216
AlCd2Ru,225
AlCdRu,216
AlCdRu2,216
AlCdRu2,225
AlCdSn,216
AlCo2Mo,123
AlCo2Ru,216
AlCo2Ru,225
AlCo2W,123
AlCoIr2,225
AlCoMo,216
AlCoRu,216
AlCoRu2,216
AlCoRu2,225
AlCoSiRu,216
AlCoW,216
AlCr2,139
AlCr2Mo,225
AlCr2Ru,216
AlCr2Ru,225
AlCr2W,225
AlCrCo,216
AlCrCo2,225
AlCrCu2,225
AlCrFe2,225
AlCrIr,216
AlCrNi2,225
AlCrRh,216
AlCrRu,216
AlCrRu2,123
AlCrRu2,216
AlCrRu2,225
AlCu,221
AlCu2Ru,216
AlCu2Ru,225
AlCu3,123
AlCu3,221
AlCu3,225
AlCuAu2,225
AlCuCl4,112
AlCuNi6,123
AlCuNiPt,216
AlCuO2,194
AlCuPd2,123
AlCuPd2,225
AlCuPdRh,216
AlCuPt2,123
AlCuPtRh,216
AlCuRh2,71
AlCuRh2,123
AlCuRh2,225
AlCuRu,216
AlCuRu2,216
AlCuRu2,225
AlF3,221
AlFe2Mo,225
AlFe2Ni,225
AlFe2Ru,216
AlFe2Ru,225
AlFe2Si,225
AlFe2W,225
AlFeCo2,225
AlFeNi2,225
AlFeRh2,225
AlFeRu,216
AlFeRu2,71
AlFeRu2,216
AlFeRu2,225
AlGa,221
AlGa2Ru,216
AlGa2Ru,225
AlGa3,139
AlGaAg,216
AlGaAu,216
AlGaCo2,225
AlGaIr,216
AlGaIr2,225
AlGaNi2,71
AlGaNi6,123
AlGaPd2,71
AlGaRu,216
AlGaRu2,71
AlGaRu2,123
AlGaRu2,225
AlGaRuPt,216
AlGe2Ru,216
AlGe2Ru,225
AlGeRu,216
AlGeRu2,123
AlGeRu2,225
AlH3,227
AlInAg,216
AlInB,216
AlInPt,216
AlInSb2,115
AlInSb2,160
AlIr,221
AlIrRu,187
AlIrRu2,99
AlIrW,216
AlMo2,139
AlMo3,223
AlMoRh2,123
AlN,186
AlN,194
AlN,216
AlN,225
AlNi,221
AlNi3,221
AlNi6Pd,123
AlNiAs,216
AlNiSn,216
AlOs,221
AlP,186
AlP,216
AlPO4,186
AlPd,198
AlPd,221
AlPd2,62
AlPd2,139
AlPd5,62
AlPt,198
AlPt,221
AlPt2,62
AlPt3,127
AlPt3,221
AlRe,221
AlRe2,139
AlReGe,107
AlReSi,107
AlReTc2,71
AlRh,221
AlRhW,216
AlRu,221
AlRu2,139
AlRu2Au,216
AlRu2Au,225
AlRu2W,71
AlRu3,139
AlRuAu,216
AlRuAu2,216
AlRuAu2,225
AlRuPt,216
AlSb,205
AlSb,216
AlSiMo,153
AlSiNi,216
AlSiOs2,225
AlSiOsRu,216
AlSiRu,187
AlSiRu2,123
AlSiRu2,225
AlSiW,107
AlSnRu2,71
AlTc2,139
AlTc2Mo,71
AlTc2Pb,216
AlTcMo,107
AlTcMoOs,216
AlTcMoRu,216
AlTlSe2,140
AlV2C,194
AlV2Cr,225
AlV2Cu,123
AlV2Fe,216
AlV2Mo,225
AlV2Pt,216
AlV2Ru,216
AlV2W,71
AlV2W,123
AlV2Zn,123
AlV3,65
AlV3,223
AlV3,225
AlV3Cr2,123
AlV4C3,194
AlV4N3,194
AlVCo2,225
AlVCr2,71
AlVCr2,225
AlVFe2,123
AlVFe2,225
AlVFeCo,216
AlVFeOs,216
AlVMo,107
AlVNi,216
AlVNi2,123
AlVNi2,225
AlVOs2,123
AlVOs2,225
AlVOsRu,216
AlVPt,216
AlVPt2,99
AlVRu,107
AlVRu,187
AlVRu2,225
AlVTcOs,216
AlVZn2,123
AlW,129
AlZn2Ga,225
AlZnAg,44
AlZnAg2,225
AlZnAu2,71
AlZnCo2,71
AlZnCo2,123
AlZnCo2,225
AlZnCu2,71
AlZnCu2,225
AlZnGa,216
AlZnGa2,216
AlZnGa2,225
AlZnIr2,225
AlZnNi2,71
AlZnNi2,123
AlZnNi2,225
AlZnPd2,71
AlZnPd2,123
AlZnPt,216
AlZnPtRh,216
AlZnRh2,123
AlZnRh2,225
As2Pd,205
As2Pt,205
As2Ru,58
As2W,12
As3W,194
As3W2,12
AsIr2Rh,216
AsIrOs2,216
AsIrPt2,216
AsIrW2,216
AsOs2W,216
AsOsAu,216
AsOsW2,216
AsP2Ir,216
AsP2Pd,216
AsP2W,216
AsPAu,216
AsPPd,216
AsPPd2,216
AsPd,221
AsPd2,36
AsPd2Pt,216
AsPd2Rh,216
AsPd2W,216
AsPdAu,216
AsPdRh,187
AsPdRh2,216
AsPdSe,198
AsPt2W,216
AsRhW2,216
AsRu,62
AsRu2Au,216
AsRuAu,216
AsRuPt,216
B12W,225
B2Mo,166
B2Mo,191
B2Mo2Ir,58
B2Mo2Os,58
B2Mo2Ru,58
B2Mo3,127
B2MoRu,26
B2Pd5,15
B2Ru,59
B2W,191
B2W,194
B3Mo,166
B3Ru2,194
B4MoIr,187
BAsPb,216
BIrW,216
BMo,63
BMo,141
BMo2,140
BMo2C,63
BMoIr,216
BMoRh,216
BPd2,58
BPd3,62
BPt,194
BRhW,216
BRu3,44
BRuPt,216
BSb,216
BW,63
BW,141
BW2,140
Ba(AgSb)2,139
Ba(AgSn)2,139
Ba(AgTe)2,62
Ba(AlGe)2,62
Ba(AlSi)2,62
Ba(AlSi)2,139
Ba(AsPd)2,123
Ba(AsPd)2,139
Ba(AsRu)2,139
Ba(CaAg)2,139
Ba(CaZn)2,139
Ba(CdGe)2,139
Ba(Cu2P)4,87
Ba(CuAs)2,139
Ba(CuS)2,62
Ba(CuS)2,139
Ba(CuSb)2,129
Ba(CuSe)2,139
Ba(CuSi)2,139
Ba(CuTe)2,62
Ba(GaPb)2,139
Ba(GaSb)2,139
Ba(GaSe2)2,66
Ba(GaSi)2,139
Ba(GaSn)2,139
Ba(Ge3Pt)4,204
Ba(GeAs)2,105
Ba(GeP)2,105
Ba(GeRu)2,70
Ba(GeRu)2,139
Ba(HgPd)2,139
Ba(InBi)2,139
Ba(InPd)2,139
Ba(InSn)2,139
Ba(LiIn)2,139
Ba(LiPd)2,139
Ba(MgIn)2,139
Ba(MgSi)2,139
Ba(MoSe)3,176
Ba(P2Pd)2,139
Ba(PPd)2,123
Ba(PRu)2,139
Ba(Sb3Os)4,204
Ba(Sb3Ru)4,204
Ba(SbPd)2,129
Ba(SbPd)2,139
Ba(SbRu)2,139
Ba(ScGe)2,139
Ba(ScSb)2,139
Ba(ScSi)2,139
Ba(SrAg)2,139
Ba(TeMo)3,176
Ba(TlPd)2,139
Ba(VP)2,139
Ba(ZnAs)2,62
Ba(ZnAs)2,139
Ba(ZnGa)2,139
Ba(ZnGe)2,139
Ba(ZnP)2,139
Ba(ZnSb)2,62
Ba(ZnSi)2,139
Ba(ZnSn)2,129
Ba2AgAs,225
Ba2AgAu,225
Ba2AgBi,12
Ba2AgBi,225
Ba2AgHg,225
Ba2AgPb,225
Ba2AgPd,71
Ba2AgPd,216
Ba2AgPd,225
Ba2AgSb,225
Ba2AgSn,225
Ba2AlCd,225
Ba2AlGe,225
Ba2AlRu,216
Ba2AlRu,225
Ba2AlSn,225
Ba2AsAu,225
Ba2BeGa,216
Ba2Bi3,71
Ba2BiAu,225
Ba2BiMo,225
Ba2BiPb,225
Ba2BiPd,225
Ba2BiW,225
Ba2CaAc,225
Ba2CaNi,225
Ba2CaPb,225
Ba2CaPd,225
Ba2CaSb,225
Ba2CaSn,225
Ba2CaTa,225
Ba2CdGa,71
Ba2CdGe,225
Ba2CdPb,225
Ba2CrBi,225
Ba2CrCd,225
Ba2CrIn,225
Ba2CrSb,225
Ba2CrSn,225
Ba2Cu3P4,72
Ba2Ga,123
Ba2Ga7Ag,115
Ba2GaAu,225
Ba2GaGe,225
Ba2GaPb,225
Ba2GaPt,225
Ba2GaRu,216
Ba2GaRu,225
Ba2GaSb,225
Ba2GaSn,225
Ba2Ge,62
Ba2GeBi,225
Ba2GePb,225
Ba2GeRu,216
Ba2GeRu,225
Ba2HfBi,225
Ba2HfFe,216
Ba2HfFe,225
Ba2HfGe,216
Ba2HfGe,225
Ba2HfPb,225
Ba2HfS4,139
Ba2HgPb,225
Ba2In3Au,8
Ba2InBi,225
Ba2InHg,225
Ba2InPd,225
Ba2InSn,225
Ba2LiCd,225
Ba2LiCr,225
Ba2LiHf,225
Ba2LiPb,225
Ba2LiPd,225
Ba2LiSb,225
Ba2LiSn,225
Ba2LiTl,225
Ba2LiV,225
Ba2LiZn,225
Ba2MgBi,225
Ba2MgGa,225
Ba2MgHg,225
Ba2MgMn,225
Ba2MgP,119
Ba2MgPb,225
Ba2MgSb,225
Ba2MgSi,225
Ba2MgSn,225
Ba2MgV,225
Ba2MgZr,225
Ba2MnBi,225
Ba2MnIn,225
Ba2MnSn,225
Ba2MnTl,225
Ba2MoPb,225
Ba2NaCa,225
Ba2NaCu,225
Ba2NaFe,225
Ba2NaGa,225
Ba2NaGe,225
Ba2NaHf,225
Ba2NaIn,225
Ba2NaLi,225
Ba2NaPb,225
Ba2NaPd,225
Ba2NaPt,225
Ba2NaSi,225
Ba2NaSr,225
Ba2NaTa,225
Ba2NaTl,225
Ba2NbTl,225
Ba2NiSb,225
Ba2PdF6,64
Ba2PtAu,225
Ba2Sb,139
Ba2SbAs,225
Ba2SbAu,225
Ba2SbPd,225
Ba2SbPt,225
Ba2ScBi,225
Ba2ScCd,225
Ba2ScCr,225
Ba2ScHg,225
Ba2ScIn,225
Ba2ScPb,225
Ba2ScSb,225
Ba2ScSn,225
Ba2ScTl,225
Ba2Si,62
Ba2SiBi,225
Ba2SiP,225
Ba2SiSn,225
Ba2Sn,62
Ba2SnPb,225
Ba2SnPd,225
Ba2SnPt,225
Ba2SnSb,225
Ba2SrCa,225
Ba2SrPb,225
Ba2SrW,225
Ba2TaBi,225
Ba2TaFe,216
Ba2TaFe,225
Ba2TiBi,225
Ba2TiCr,225
Ba2TiSb,225
Ba2TlAu,225
Ba2TlBi,225
Ba2TlCd,225
Ba2TlHg,225
Ba2TlSn,225
Ba2TlV,225
Ba2TlZn,225
Ba2VPb,225
Ba2YBe,225
Ba2YCu,225
Ba2YGa,225
Ba2YHf,225
Ba2YMn,225
Ba2YNb,225
Ba2YSb,225
Ba2YSn,225
Ba2YTi,225
Ba2YZn,225
Ba2YZr,225
Ba2YbMg,225
Ba2YbTl,225
Ba2Zn,139
Ba2Zn2Ga,139
Ba2ZnAg,71
Ba2ZnAs,225
Ba2ZnCd,225
Ba2ZnGa,71
Ba2ZnGa,216
Ba2ZnGa,225
Ba2ZnHg,225
Ba2ZnIn,71
Ba2ZnIn,225
Ba2ZnN2,139
Ba2ZnPb,225
Ba2ZnPt,225
Ba2ZnSi,225
Ba2ZrO4,139
Ba3BiN,194
Ba3CrN3,176
Ba3CrS5,185
Ba3Cu17AgP6,12
Ba3Ge5,63
Ba3In,139
Ba3InBi,221
Ba3InSb,221
Ba3MnN3,176
Ba3Pd,2
Ba3Si23,223
Ba3SiO5,140
Ba3Sn5,63
Ba3SnO,221
Ba3TiS5,140
Ba4BeMo,216
Ba4Bi3,220
Ba4CaNb,216
Ba4CaV,216
Ba4CaW,216
Ba4CdRu,216
Ba4GaCu,216
Ba4HfSb,216
Ba4InIr,216
Ba4InTc,216
