compound,cluster,T,k_ref,k_pred,k_pred_hurdle,p_low,n_ref_rows,klass,Yfam,ratio,ape,suspect_ref
TiFe2Sn,full:X2=Fe,700.0,2.6499538903332844,6.839,6.0412,0.0068,6,full,,2.580799622569984,158.07996225699839,False
TiFe2Sn,full:X2=Fe,800.0,2.37084884338588,6.4051,5.3146,0.0071,4,full,,2.7016062276044077,170.16062276044076,False
TiFe2Sn,full:X2=Fe,900.0,2.5143521708791274,5.7191,5.0428,0.0066,2,full,,2.2745819246157364,127.45819246157363,False
VGaFe2,full:X2=Fe,200.0,15.674390683818835,10.4586,15.0819,0.038,12,full,,0.6672412479036102,33.27587520963898,False
VGaFe2,full:X2=Fe,300.0,15.16370959992525,5.7078,8.0948,0.0635,14,full,,0.37641185109665626,62.358814890334365,False
VGaFe2,full:X2=Fe,400.0,14.73759555300643,5.7907,6.9761,0.0558,2,full,,0.3929202683824983,60.70797316175018,False
VGaFe2,full:X2=Fe,500.0,11.196087741710958,6.5516,6.7959,0.0546,3,full,,0.5851686902731258,41.48313097268742,False
VGaFe2,full:X2=Fe,600.0,8.0285504153603,6.0813,5.6373,0.0519,2,full,,0.7574592778747703,24.254072212522974,False
VGaFe2,full:X2=Fe,700.0,6.545765036721479,5.261,4.9784,0.0705,2,full,,0.803725763220342,19.627423677965805,False
Li2ZnGe,full:X2=Li,300.0,2.41261392683427,2.4964,3.427,0.0401,2,full,,1.0347283385185753,3.4728338518575317,False
Li2ZnGe,full:X2=Li,400.0,1.6892790852603783,2.3977,3.0358,0.0422,2,full,,1.4193628636741387,41.93628636741387,False
Li2ZnGe,full:X2=Li,500.0,1.2346711731467988,2.3663,2.917,0.0468,3,full,,1.9165426807277162,91.65426807277161,False
Li2ZnGe,full:X2=Li,600.0,0.8937039,2.2147,2.3949,0.0382,3,full,,2.47811383613745,147.81138361374502,False
Li2ZnGe,full:X2=Li,700.0,1.0220899137991772,2.018,2.4781,0.0263,2,full,,1.9743859838113043,97.43859838113043,False
Li2ZnGe,full:X2=Li,800.0,1.0770664813863018,1.8897,2.3033,0.0254,2,full,,1.7544877987176337,75.44877987176338,False
Li2ZnGe,full:X2=Li,900.0,1.2221550910510715,1.7346,2.1808,0.0252,2,full,,1.4192961373733821,41.92961373733822,False
Li2ZnGe,full:X2=Li,1000.0,1.3649082338601384,1.6532,2.2737,0.1329,2,full,,1.2112169587581247,21.121695875812467,False
Li2ZnGe,full:X2=Li,1100.0,1.5785375684174945,1.6532,2.2737,0.1329,2,full,,1.0472984825171792,4.729848251717925,False
Li2ZnGe,full:X2=Li,1200.0,1.6016774218773364,1.6532,2.2737,0.1329,2,full,,1.0321678868784163,3.216788687841628,False
Mn2AlV,full:X2=Mn,400.0,4.468919117509341,8.9435,14.1589,0.0129,4,full,,2.001266920441486,100.12669204414857,False
Mn2AlV,full:X2=Mn,500.0,4.329839781597954,7.8073,13.4925,0.0134,4,full,,1.8031383131499308,80.31383131499308,False
Mn2AlV,full:X2=Mn,600.0,3.9607248724410713,6.952,12.5345,0.0109,4,full,,1.7552342623877704,75.52342623877705,False
Mn2AlV,full:X2=Mn,700.0,3.656638428603502,6.4405,11.777,0.008,4,full,,1.7613171566595596,76.13171566595595,False
Mn2AlV,full:X2=Mn,800.0,3.441845479249345,6.239,10.4219,0.0085,4,full,,1.8126903248895139,81.2690324889514,False
Mn2AlV,full:X2=Mn,900.0,3.5539984313566038,6.1042,9.4999,0.0125,4,full,,1.7175584395713854,71.75584395713854,False
Mn2AlV,full:X2=Mn,1000.0,5.107894505803857,5.4965,8.7999,0.0138,1,full,,1.076079389218902,7.6079389218902,False
TiNi2Sn,full:X2=Ni,200.0,2.971059124838205,23.6555,20.4667,0.0016,10,full,,7.961975513122179,696.1975513122179,False
TiNi2Sn,full:X2=Ni,300.0,3.062314797594281,14.3028,11.1146,0.0061,13,full,,4.670584490933497,367.0584490933497,False
NbAlRu2,full:X2=Ru,200.0,5.752854850358567,23.5264,24.8689,0.0041,5,full,,4.0895173982242286,308.95173982242284,False
NbAlRu2,full:X2=Ru,300.0,5.800016002870231,13.8642,15.1369,0.0162,5,full,,2.3903727150302827,139.03727150302828,False
NbGaRu2,full:X2=Ru,200.0,5.1887050150684075,19.1377,22.3337,0.0058,4,full,,3.6883384089908007,268.8338408990801,False
NbGaRu2,full:X2=Ru,300.0,5.174857072822206,11.5455,14.1486,0.0249,5,full,,2.23107611235018,123.107611235018,False
TaAlRu2,full:X2=Ru,200.0,6.748971875446516,17.532,25.0595,0.0158,8,full,,2.5977290057739455,159.77290057739458,False
TaAlRu2,full:X2=Ru,300.0,6.490730849874355,9.0301,13.4414,0.0611,8,full,,1.3912300800725392,39.123008007253915,False
TiGeRu2,full:X2=Ru,300.0,11.2,19.0383,15.1345,0.1339,1,full,,1.6998482142857143,69.98482142857144,False
VGaRu2,full:X2=Ru,200.0,12.048765660804914,22.9863,27.5499,0.0026,6,full,,1.9077721857248244,90.77721857248244,False
VGaRu2,full:X2=Ru,300.0,10.738065521235926,14.7124,18.0159,0.009,5,full,,1.3701164302736195,37.011643027361956,False
AlVNi,half:X=Al,300.0,13.0,13.3243,19.4527,0.0009,1,half,V,1.0249461538461537,2.4946153846153782,False
AlVNi,half:X=Al,400.0,10.5,10.1701,18.6824,0.0006,1,half,V,0.9685809523809523,3.141904761904765,False
AlVNi,half:X=Al,500.0,8.8,9.7238,15.7229,0.0006,1,half,V,1.1049772727272726,10.497727272727271,False
AlVNi,half:X=Al,600.0,7.5,8.2346,13.9125,0.0007,1,half,V,1.0979466666666666,9.794666666666672,False
AlVNi,half:X=Al,700.0,6.2,6.9084,12.3686,0.0019,1,half,V,1.114258064516129,11.425806451612905,False
BaAgSb,half:X=Ba,300.0,2.371081739055648,1.256,1.1978,0.786,3,half,Ag,0.5297160276305947,47.028397236940535,False
BaAgSb,half:X=Ba,400.0,1.7670600855423924,0.9179,0.8802,0.8537,4,half,Ag,0.5194503613714154,48.05496386285845,False
BaAgSb,half:X=Ba,500.0,1.3908890137635939,0.8005,0.826,0.8621,4,half,Ag,0.5755311833500895,42.44688166499106,False
BaAgSb,half:X=Ba,600.0,1.0345305392867878,0.6315,0.6906,0.9099,6,half,Ag,0.6104218058515316,38.95781941484684,False
BaAgSb,half:X=Ba,700.0,0.7410377844236651,0.5591,0.5637,0.9585,6,half,Ag,0.7544824457700691,24.55175542299309,False
BaAgSb,half:X=Ba,800.0,0.43459491843054665,0.4622,0.4857,0.9622,4,half,Ag,1.0635191080216575,6.351910802165755,True
BaAgSb,half:X=Ba,900.0,0.54325,0.4334,0.4438,0.9677,2,half,Ag,0.7977910722503452,20.220892774965485,False
BaAgSb,half:X=Ba,1000.0,0.44094999999999995,0.3952,0.4011,0.9659,2,half,Ag,0.8962467399931966,10.37532600068034,True
CuAgTe,half:X=Cu,300.0,0.2973573197987887,3.7463,5.4013,0.217,10,half,Ag,12.598647319443794,1159.8647319443794,True
CuAgTe,half:X=Cu,400.0,0.2783194919285391,3.0352,5.2523,0.1538,13,half,Ag,10.905452503410409,990.545250341041,True
CuAgTe,half:X=Cu,500.0,0.2432745587946863,2.8167,4.5998,0.146,14,half,Ag,11.578276059590673,1057.8276059590671,True
CuAgTe,half:X=Cu,600.0,0.197276532191416,2.6691,3.917,0.1924,19,half,Ag,13.529739043720575,1252.9739043720576,True
CuAgTe,half:X=Cu,700.0,0.15536457994094421,2.6541,3.8964,0.1798,14,half,Ag,17.083044288529937,1608.3044288529939,True
DyNiSb,half:X=Dy,200.0,5.628203751741514,12.048,13.3158,0.0185,4,half,Ni,2.140647448357219,114.0647448357219,False
DyNiSb,half:X=Dy,300.0,6.094034039419161,8.5894,7.3345,0.1064,5,half,Ni,1.4094768661349122,40.94768661349123,False
DyNiSb,half:X=Dy,400.0,3.0619015362722415,6.8681,6.6003,0.0769,4,half,Ni,2.2430832339441173,124.30832339441172,False
DyNiSb,half:X=Dy,500.0,3.0220319076636883,5.6189,6.0385,0.0819,4,half,Ni,1.8593119370284652,85.93119370284651,False
DyNiSb,half:X=Dy,600.0,2.909573606506069,4.6892,5.0562,0.0635,4,half,Ni,1.6116450841850247,61.16450841850248,False
DyNiSb,half:X=Dy,700.0,2.745830356026726,3.9792,3.7239,0.1692,4,half,Ni,1.4491791130745548,44.91791130745548,False
DyNiSb,half:X=Dy,800.0,2.7173893325073335,3.4952,3.4112,0.1725,4,half,Ni,1.2862345333397556,28.62345333397556,False
DyNiSb,half:X=Dy,900.0,2.6456603009673723,3.1456,2.7869,0.2255,4,half,Ni,1.1889659450420855,18.896594504208544,False
