compound,cluster,T,k_ref,k_pred,k_pred_hurdle,p_low,n_ref_rows,klass,Yfam,ratio,ape,suspect_ref
MnCo2Si,full:X2=Co,300.0,60.63283943704386,32.631,41.2716,0.0015,1,full,,0.5381737075645507,46.18262924354493,False
MnCo2Si,full:X2=Co,400.0,57.009193363569466,26.4508,34.0794,0.0014,2,full,,0.46397428974855187,53.60257102514481,False
MnCo2Si,full:X2=Co,500.0,52.62577738078987,21.4661,27.4301,0.0013,2,full,,0.4079008628162485,59.20991371837515,False
MnCo2Si,full:X2=Co,600.0,37.30965316752498,18.5373,20.06,0.0012,2,full,,0.4968499684723741,50.315003152762586,False
MnCo2Si,full:X2=Co,700.0,29.49605223653983,16.1864,17.0499,0.0009,2,full,,0.5487649625175338,45.12350374824662,False
MnCo2Si,full:X2=Co,800.0,21.84277797892365,12.9476,15.2401,0.0012,2,full,,0.5927634302053195,40.723656979468046,False
MnCo2Si,full:X2=Co,900.0,19.504640602154105,11.4119,13.5917,0.0013,2,full,,0.5850864023990097,41.49135976009903,False
MnCo2Si,full:X2=Co,1000.0,13.884844472419111,10.3018,11.0054,0.0019,2,full,,0.7419456530797677,25.80543469202323,False
MnCo2Sn,full:X2=Co,200.0,3.295118446683503,19.2016,22.7567,0.0158,4,full,,5.827286730565384,482.72867305653847,False
MnCo2Sn,full:X2=Co,300.0,3.5541973894126766,12.5471,12.4975,0.0582,8,full,,3.530220363499108,253.02203634991082,False
MnCo2Sn,full:X2=Co,400.0,4.744871025441132,9.8198,10.5516,0.0469,4,full,,2.069560994882269,106.95609948822691,False
MnGaCo2,full:X2=Co,200.0,18.01860605934925,27.814,28.9632,0.0172,3,full,,1.5436266217479264,54.362662174792646,False
MnGaCo2,full:X2=Co,300.0,16.93364772992916,17.1527,16.8771,0.0472,3,full,,1.0129359175036858,1.29359175036858,False
MnGaCo2,full:X2=Co,400.0,15.699515316409922,14.7704,15.5313,0.0295,2,full,,0.9408188534687587,5.918114653124123,False
TiCo2Ge,full:X2=Co,200.0,3.7281815717602598,35.5429,43.2132,0.0043,6,full,,9.533575368009352,853.3575368009352,False
TiCo2Ge,full:X2=Co,300.0,3.7731378178890815,23.4137,26.5746,0.0159,13,full,,6.205365700927145,520.5365700927144,False
TiCo2Ge,full:X2=Co,400.0,3.8786345582732,19.2276,20.9659,0.0114,7,full,,4.957311577340322,395.73115773403214,False
TiCo2Si,full:X2=Co,200.0,2.832069992474927,68.6842,68.7941,0.0004,6,full,,24.25229608819708,2325.229608819708,False
TiCo2Si,full:X2=Co,300.0,3.013941580516548,46.209,47.3125,0.0011,13,full,,15.331750389163288,1433.1750389163285,False
TiCo2Si,full:X2=Co,400.0,3.506263339854188,35.8938,40.4674,0.0011,7,full,,10.23705196127473,923.705196127473,False
TiCo2Sn,full:X2=Co,200.0,3.963626607813568,22.8769,22.5668,0.0102,17,full,,5.771709160217655,477.1709160217655,False
TiCo2Sn,full:X2=Co,300.0,4.413651801301903,14.5903,13.1408,0.0364,28,full,,3.305720672323148,230.5720672323148,False
TiCo2Sn,full:X2=Co,400.0,5.557895286286982,11.3975,10.6393,0.0317,7,full,,2.0506863503026227,105.06863503026226,False
AlVFe2,full:X2=Fe,200.0,26.136814433046435,9.5964,16.2119,0.0098,30,full,,0.36716027596181194,63.2839724038188,False
AlVFe2,full:X2=Fe,300.0,24.082846808177223,4.4285,7.1059,0.0486,50,full,,0.18388606775907915,81.6113932240921,False
AlVFe2,full:X2=Fe,400.0,16.94978340557846,4.2913,6.5354,0.0412,25,full,,0.253177276506534,74.68227234934659,False
AlVFe2,full:X2=Fe,500.0,15.60379418213212,4.5661,5.9912,0.04,23,full,,0.29262754601240726,70.73724539875927,False
AlVFe2,full:X2=Fe,600.0,14.125911403068438,3.7509,5.1665,0.0331,14,full,,0.26553330917715,73.446669082285,False
AlVFe2,full:X2=Fe,700.0,12.37834,3.0348,4.5071,0.0373,13,full,,0.24517019244906832,75.48298075509317,False
AlVFe2,full:X2=Fe,800.0,10.778079764146208,2.6539,4.1096,0.0389,8,full,,0.24623124508953106,75.37687549104689,False
AlVFe2,full:X2=Fe,900.0,10.464026043807827,2.3757,3.9434,0.0343,1,full,,0.2270349853922468,77.29650146077532,False
AlVFe2,full:X2=Fe,1000.0,9.370898341925976,2.4715,4.137,0.0394,1,full,,0.26374205650512256,73.62579434948775,False
TiFe2Si,full:X2=Fe,200.0,4.092225041752744,20.7545,30.2784,0.001,5,full,,5.071690776592927,407.1690776592927,False
TiFe2Si,full:X2=Fe,300.0,4.884374246785141,13.1199,18.4428,0.0059,10,full,,2.686096383510215,168.60963835102154,False
TiFe2Si,full:X2=Fe,400.0,5.750385362602919,10.071,14.796,0.0061,1,full,,1.75136088539314,75.13608853931399,False
TiFe2Sn,full:X2=Fe,200.0,1.697459302134902,17.2203,19.4477,0.0065,30,full,,10.144749849579282,914.4749849579282,False
TiFe2Sn,full:X2=Fe,300.0,2.4576454867100845,10.4969,10.8125,0.0213,54,full,,4.271120491854025,327.11204918540244,False
TiFe2Sn,full:X2=Fe,400.0,2.624398545431243,8.135,8.765,0.0178,11,full,,3.09975785277051,209.97578527705102,False
TiFe2Sn,full:X2=Fe,500.0,2.815295707427868,8.768,7.839,0.0151,10,full,,3.1144152910355154,211.44152910355152,False
TiFe2Sn,full:X2=Fe,600.0,2.772019660793573,7.2456,7.5463,0.0145,7,full,,2.6138342748715324,161.38342748715323,False
TiFe2Sn,full:X2=Fe,700.0,2.6499538903332844,6.2026,6.7105,0.0133,6,full,,2.340644500504837,134.06445005048369,False
TiFe2Sn,full:X2=Fe,800.0,2.37084884338588,5.452,5.9018,0.0137,4,full,,2.299598312735044,129.9598312735044,False
TiFe2Sn,full:X2=Fe,900.0,2.5143521708791274,5.0181,5.4913,0.013,2,full,,1.995782475549339,99.5782475549339,False
VGaFe2,full:X2=Fe,200.0,15.674390683818835,8.9281,16.1628,0.01,12,full,,0.569597898897388,43.04021011026121,False
VGaFe2,full:X2=Fe,300.0,15.16370959992525,4.4283,6.7934,0.0382,14,full,,0.2920327622221036,70.79672377778964,False
VGaFe2,full:X2=Fe,400.0,14.73759555300643,4.1974,6.1297,0.0276,2,full,,0.2848090100521005,71.51909899478996,False
VGaFe2,full:X2=Fe,500.0,11.196087741710958,4.9116,5.739,0.026,3,full,,0.4386889521865628,56.13110478134372,False
VGaFe2,full:X2=Fe,600.0,8.0285504153603,4.0531,4.9846,0.0254,2,full,,0.5048358408817574,49.51641591182426,False
VGaFe2,full:X2=Fe,700.0,6.545765036721479,3.7957,4.2556,0.0419,2,full,,0.5798711042492781,42.012889575072194,False
Li2ZnGe,full:X2=Li,300.0,2.41261392683427,2.6796,3.4198,0.0213,2,full,,1.1106625764678637,11.06625764678636,False
Li2ZnGe,full:X2=Li,400.0,1.6892790852603783,2.5818,3.0543,0.021,2,full,,1.528344263850311,52.834426385031115,False
Li2ZnGe,full:X2=Li,500.0,1.2346711731467988,2.5277,3.0035,0.0231,3,full,,2.0472657457107926,104.72657457107924,False
Li2ZnGe,full:X2=Li,600.0,0.8937039,2.5626,2.8442,0.0204,3,full,,2.8673926565610826,186.73926565610827,False
Li2ZnGe,full:X2=Li,700.0,1.0220899137991772,2.4239,2.6742,0.0149,2,full,,2.3715134718336084,137.1513471833608,False
Li2ZnGe,full:X2=Li,800.0,1.0770664813863018,2.0379,2.571,0.0118,2,full,,1.8920837619763275,89.20837619763275,False
Li2ZnGe,full:X2=Li,900.0,1.2221550910510715,1.8382,2.5615,0.0109,2,full,,1.5040644296781687,50.406442967816865,False
Li2ZnGe,full:X2=Li,1000.0,1.3649082338601384,1.7497,2.2109,0.0739,2,full,,1.2819176825182015,28.191768251820154,False
Li2ZnGe,full:X2=Li,1100.0,1.5785375684174945,1.7154,2.2109,0.0739,2,full,,1.0867020426505984,8.670204265059843,False
Li2ZnGe,full:X2=Li,1200.0,1.6016774218773364,1.7154,2.2109,0.0739,2,full,,1.0710021734522353,7.100217345223525,False
Mn2AlV,full:X2=Mn,400.0,4.468919117509341,12.0408,15.1348,0.0081,4,full,,2.6943427892493816,169.43427892493816,False
Mn2AlV,full:X2=Mn,500.0,4.329839781597954,11.3938,12.4868,0.0066,4,full,,2.6314599557295972,163.1459955729597,False
Mn2AlV,full:X2=Mn,600.0,3.9607248724410713,10.2569,10.4036,0.0048,4,full,,2.58965223042076,158.965223042076,False
