compound,cluster,T,k_ref,k_pred,k_pred_hurdle,p_low,n_ref_rows,klass,Yfam,ratio,ape,suspect_ref
MnCo2Si,full:X2=Co,300.0,60.63283943704386,44.6983,37.3839,0.0027,1,full,,0.7371962193261793,26.280378067382067,False
MnCo2Si,full:X2=Co,400.0,57.009193363569466,37.9676,30.1944,0.003,2,full,,0.6659908298976634,33.400917010233655,False
MnCo2Si,full:X2=Co,500.0,52.62577738078987,32.6991,22.7885,0.0034,2,full,,0.6213513914178538,37.86486085821463,False
MnCo2Si,full:X2=Co,600.0,37.30965316752498,27.9037,19.0235,0.003,2,full,,0.7478949180982445,25.210508190175553,False
MnCo2Si,full:X2=Co,700.0,29.49605223653983,23.7576,15.7729,0.0018,2,full,,0.8054501602275097,19.454983977249032,False
MnCo2Si,full:X2=Co,800.0,21.84277797892365,21.0302,13.2397,0.0018,2,full,,0.9627987804615459,3.720121953845408,False
MnCo2Si,full:X2=Co,900.0,19.504640602154105,18.8893,11.9021,0.0018,2,full,,0.9684515795648063,3.1548420435193627,False
MnCo2Si,full:X2=Co,1000.0,13.884844472419111,17.0342,10.2603,0.0022,2,full,,1.226819647410295,22.68196474102951,False
MnCo2Sn,full:X2=Co,200.0,3.295118446683503,17.6427,19.2153,0.01,4,full,,5.354192963156504,435.41929631565034,False
MnCo2Sn,full:X2=Co,300.0,3.5541973894126766,11.3889,10.8228,0.0382,8,full,,3.2043521369762726,220.43521369762726,False
MnCo2Sn,full:X2=Co,400.0,4.744871025441132,11.0898,8.7188,0.0297,4,full,,2.3372184281803485,133.72184281803484,False
MnGaCo2,full:X2=Co,200.0,18.01860605934925,37.6094,27.0522,0.0129,3,full,,2.0872535797787615,108.72535797787613,False
MnGaCo2,full:X2=Co,300.0,16.93364772992916,24.2557,14.832,0.0397,3,full,,1.4323966334276326,43.239663342763265,False
MnGaCo2,full:X2=Co,400.0,15.699515316409922,20.4909,15.2646,0.0323,2,full,,1.30519315959913,30.51931595991299,False
TiCo2Ge,full:X2=Co,200.0,3.7281815717602598,40.2781,37.6907,0.0123,6,full,,10.803685181294084,980.3685181294084,False
TiCo2Ge,full:X2=Co,300.0,3.7731378178890815,25.7353,22.5148,0.0425,13,full,,6.820662600232785,582.0662600232785,False
TiCo2Ge,full:X2=Co,400.0,3.8786345582732,21.5321,18.2547,0.0344,7,full,,5.551463969213502,455.1463969213503,False
TiCo2Si,full:X2=Co,200.0,2.832069992474927,61.8189,59.1265,0.0012,6,full,,21.828168147065067,2082.8168147065066,False
TiCo2Si,full:X2=Co,300.0,3.013941580516548,42.4408,40.8473,0.0028,13,full,,14.081493906303995,1308.1493906303992,False
TiCo2Si,full:X2=Co,400.0,3.506263339854188,33.7767,32.9606,0.0037,7,full,,9.633246771876706,863.3246771876707,False
TiCo2Sn,full:X2=Co,200.0,3.963626607813568,17.5404,17.4815,0.0068,17,full,,4.4253411674607035,342.5341167460703,False
TiCo2Sn,full:X2=Co,300.0,4.413651801301903,11.1657,10.6179,0.0261,28,full,,2.5298098949958927,152.98098949958927,False
TiCo2Sn,full:X2=Co,400.0,5.557895286286982,10.9151,8.8795,0.0203,7,full,,1.9638909043376316,96.38909043376316,False
AlVFe2,full:X2=Fe,200.0,26.136814433046435,13.674,20.5622,0.0282,30,full,,0.5231701068631797,47.682989313682036,False
AlVFe2,full:X2=Fe,300.0,24.082846808177223,8.6797,11.3819,0.0698,50,full,,0.3604100490749643,63.95899509250357,False
AlVFe2,full:X2=Fe,400.0,16.94978340557846,7.4249,8.7502,0.0626,25,full,,0.4380527952679525,56.19472047320475,False
AlVFe2,full:X2=Fe,500.0,15.60379418213212,6.6704,8.4252,0.0495,23,full,,0.42748577186683634,57.25142281331636,False
AlVFe2,full:X2=Fe,600.0,14.125911403068438,5.5078,7.0737,0.061,14,full,,0.38990758492252703,61.0092415077473,False
AlVFe2,full:X2=Fe,700.0,12.37834,5.0239,6.3329,0.0577,13,full,,0.4058621753805438,59.41378246194562,False
AlVFe2,full:X2=Fe,800.0,10.778079764146208,4.6662,5.9868,0.062,8,full,,0.4329342612143524,56.706573878564754,False
AlVFe2,full:X2=Fe,900.0,10.464026043807827,4.715,5.7942,0.0762,1,full,,0.45059138617015765,54.94086138298423,False
AlVFe2,full:X2=Fe,1000.0,9.370898341925976,4.4991,5.2105,0.0786,1,full,,0.480114054793525,51.9885945206475,False
TiFe2Si,full:X2=Fe,200.0,4.092225041752744,18.4428,24.252,0.0011,5,full,,4.506790269799225,350.6790269799226,False
