formula,kappa_L,kappa_units,temperature_K,method,method_tier,tier_name,weight,struct_a_A,struct_spacegroup,struct_sg_symbol,struct_prototype,struct_site_ordering,struct_species,struct_frac_coords,struct_grade,lattice_convention,source,source_doi,source_url,source_location,struct_source,struct_source_url,struct_source_detail,struct_id,struct_same_paper_as_kappa,stoichiometry,parent_formula,sys,kappa_basis,data_origin
Al0.85V1.15Fe1.94Cu0.06,6.8,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.94Cu0.06,6.0,W/m/K,400.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.94Cu0.06,5.5,W/m/K,500.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.94Cu0.06,5.4,W/m/K,600.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.94Cu0.06,5.6,W/m/K,700.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.94Cu0.06,6.2,W/m/K,800.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.91Cu0.09,6.2,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.91Cu0.09,5.5,W/m/K,400.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.91Cu0.09,5.0,W/m/K,500.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.91Cu0.09,4.9,W/m/K,600.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.91Cu0.09,5.0,W/m/K,700.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.91Cu0.09,5.5,W/m/K,800.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.88Cu0.12,6.0,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.88Cu0.12,5.2,W/m/K,400.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.88Cu0.12,4.8,W/m/K,500.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.88Cu0.12,4.7,W/m/K,600.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.88Cu0.12,4.8,W/m/K,700.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.88Cu0.12,5.3,W/m/K,800.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.85Cu0.15,5.6,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.85Cu0.15,4.9,W/m/K,400.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.85Cu0.15,4.8,W/m/K,500.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.85Cu0.15,4.8,W/m/K,570.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.85Cu0.15,4.6,W/m/K,600.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.85Cu0.15,4.7,W/m/K,700.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1.15Fe1.85Cu0.15,5.1,W/m/K,800.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s10854-026-17510-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ti0.1Al1V0.9Fe2,10.0,W/m/K,400.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s11664-012-2433-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al1V0.9Fe2W0.1,4.5,W/m/K,400.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s11664-012-2433-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ti0.15Al1V0.75Fe2W0.1,4.0,W/m/K,400.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s11664-012-2433-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ti0.2Al1V0.7Fe2W0.1,3.8,W/m/K,400.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s11664-012-2433-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ti0.25Al1V0.65Fe2W0.1,3.5,W/m/K,400.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s11664-012-2433-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ti0.3Al1V0.6Fe2W0.1,3.2,W/m/K,400.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s11664-012-2433-7,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.95V1Fe2Si0.05,19.9,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s11664-013-2532-0,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.97V1.05Fe1.95Si0.03,18.6,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s11664-013-2532-0,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ta0.05Al0.95V0.95Fe2Si0.05,7.0,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s11664-013-2532-0,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ta0.05Al0.9V0.97Fe1.98Si0.1,6.5,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s11664-013-2532-0,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ta0.05Al0.95V1Fe1.95Si0.05,6.8,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s11664-013-2532-0,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ta0.05Al0.97V1Fe1.95Si0.03,6.9,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s11664-013-2532-0,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ta0.1Al0.92V0.98Fe2,4.5,W/m/K,350.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s00339-022-05329-y,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ta0.1Al0.92V0.98Fe2,1.3,W/m/K,350.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s00339-022-05329-y,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ta0.1Al1V0.9Fe2,7.8,W/m/K,350.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s00339-022-05329-y,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ta0.1Al0.98V0.92Fe2,6.8,W/m/K,350.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s00339-022-05329-y,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ta0.1Al0.96V0.94Fe2,5.8,W/m/K,350.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s00339-022-05329-y,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ta0.1Al0.94V0.96Fe2,5.0,W/m/K,350.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s00339-022-05329-y,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ta0.1Al0.9V1Fe2,4.4,W/m/K,350.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1007/s00339-022-05329-y,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ti0.94V0.06Fe2Sn1,4.3,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,6.03014,225.0,Fm-3m,full_Heusler_L21,,"[""Ti"", ""Fe"", ""Fe"", ""Sn""]","[[0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.5, 0.5, 0.5]]",A,conventional,doped_recovery,10.1134/s1063782619060277,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,TiFe2Sn,Fe-Sn-Ti,reported_lattice,experimental
Ti0.94V0.06Fe2Sn1,4.1,W/m/K,400.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,6.03014,225.0,Fm-3m,full_Heusler_L21,,"[""Ti"", ""Fe"", ""Fe"", ""Sn""]","[[0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.5, 0.5, 0.5]]",A,conventional,doped_recovery,10.1134/s1063782619060277,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,TiFe2Sn,Fe-Sn-Ti,reported_lattice,experimental
Ti0.94V0.06Fe2Sn1,3.9,W/m/K,500.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,6.03014,225.0,Fm-3m,full_Heusler_L21,,"[""Ti"", ""Fe"", ""Fe"", ""Sn""]","[[0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.5, 0.5, 0.5]]",A,conventional,doped_recovery,10.1134/s1063782619060277,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,TiFe2Sn,Fe-Sn-Ti,reported_lattice,experimental
Ti0.94V0.06Fe2Sn1,3.7,W/m/K,573.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,6.03014,225.0,Fm-3m,full_Heusler_L21,,"[""Ti"", ""Fe"", ""Fe"", ""Sn""]","[[0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.5, 0.5, 0.5]]",A,conventional,doped_recovery,10.1134/s1063782619060277,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,TiFe2Sn,Fe-Sn-Ti,reported_lattice,experimental
