formula,kappa_L,kappa_units,temperature_K,method,method_tier,tier_name,weight,struct_a_A,struct_spacegroup,struct_sg_symbol,struct_prototype,struct_site_ordering,struct_species,struct_frac_coords,struct_grade,lattice_convention,source,source_doi,source_url,source_location,struct_source,struct_source_url,struct_source_detail,struct_id,struct_same_paper_as_kappa,stoichiometry,parent_formula
Ac2MgGa,0.85,W/m/K,300.0,Slack,3,semi-empirical,0.3,8.020455780000002,225.0,,,,"Ac,Ga,Mg","[[0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.0, -0.0, -0.0], [0.5, 0.5, 0.5]]",A,primitive->conventional (x sqrt2),paper mining,10.1038/s41598-025-24428-3,https://doi.org/10.1038/s41598-025-24428-3,Table 5 + Results text,Materials Project,,MP relaxed structure,,False,stoichiometric,Ac2MgGa
AgSbSe2,0.48,W/m/K,300.0,measured,3,semi-empirical,0.3,7.08222,225.0,Fm-3m,,,"[""Ag"", ""Ag"", ""Ag"", ""Ag"", ""Sb"", ""Sb"", ""Sb"", ""Sb"", ""Se"", ""Se"", ""Se"", ""Se"", ""Se"", ""Se"", ""Se"", ""Se""]","[[0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.0], [0.5, 0.5, 0.5], [0.0, 0.0, 0.5], [0.0, 0.5, 0.0], [0.25, 0.75, 0.75], [0.25, 0.25, 0.75], [0.25, 0.25, 0.25], [0.25, 0.75, 0.25], [0.75, 0.75, 0.25], [0.75, 0.25, 0.25], [0.75, 0.25, 0.75], [0.75, 0.75, 0.75]]",A,conventional,"paper mining (PDF, batch 2)",10.1038/s41467-020-14772-5,,page 10,OPTIMADE,https://alexandria.icams.rub.de/pbe/v1/structures/agm002735473,alexandria,agm002735473,False,stoichiometric,AgSbSe2
AlCrCu2,3.62766,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.9481,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""Cr"", ""Cu"", ""Cu""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Cr1Cu2_ICSD_57653,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-17416.xml,JARVIS-DFT (NIST),JVASP-17416,False,stoichiometric,AlCrCu2
AlVNi2,6.06207,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.80195,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Ni"", ""Ni""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Ni2V1_ICSD_58071,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-16373.xml,JARVIS-DFT (NIST),JVASP-16373,False,stoichiometric,AlVNi2
Ca2HgPb,6.6,W/m/K,300.0,Slack model,3,semi-empirical,0.3,7.66177,225.0,Fm-3m,full_Heusler_L21,,"[""Ca"", ""Ca"", ""Hg"", ""Pb""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,"paper mining (PDF, batch 2)",10.1038/s41524-022-00887-4,,Table 1,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-39995.xml,JARVIS-DFT (NIST),JVASP-39995,False,stoichiometric,Ca2HgPb
CuNi2Sb,2.46569,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.01355,225.0,Fm-3m,full_Heusler_L21,,"[""Cu"", ""Ni"", ""Ni"", ""Sb""]","[[0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.5, 0.5, 0.5]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu1Ni2Sb1_ICSD_53320,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18563.xml,JARVIS-DFT (NIST),JVASP-18563,False,stoichiometric,CuNi2Sb
CuNi2Sn,1.60187,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.98614,225.0,Fm-3m,full_Heusler_L21,,"[""Cu"", ""Ni"", ""Ni"", ""Sn""]","[[0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.5, 0.5, 0.5]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu1Ni2Sn1_ICSD_103068,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18686.xml,JARVIS-DFT (NIST),JVASP-18686,False,stoichiometric,CuNi2Sn
CuSnRh2,4.86328,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.21885,225.0,Fm-3m,full_Heusler_L21,,"[""Cu"", ""Sn"", ""Rh"", ""Rh""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu1Rh2Sn1_ICSD_103092,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18688.xml,JARVIS-DFT (NIST),JVASP-18688,False,stoichiometric,CuSnRh2
DyInAg2,1.07687,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.96458,225.0,Fm-3m,full_Heusler_L21,,"[""Dy"", ""In"", ""Ag"", ""Ag""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2Dy1In1_ICSD_104397,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-17869.xml,JARVIS-DFT (NIST),JVASP-17869,False,stoichiometric,DyInAg2
DyInAu2,1.0706,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.97987,225.0,Fm-3m,full_Heusler_L21,,"[""Dy"", ""In"", ""Au"", ""Au""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Au2Dy1In1_ICSD_58442,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18601.xml,JARVIS-DFT (NIST),JVASP-18601,False,stoichiometric,DyInAu2
DyInCu2,3.50893,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.62736,225.0,Fm-3m,full_Heusler_L21,,"[""Dy"", ""In"", ""Cu"", ""Cu""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2Dy1In1_ICSD_102876,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18268.xml,JARVIS-DFT (NIST),JVASP-18268,False,stoichiometric,DyInCu2
DyInPd2,2.32477,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.74605,225.0,Fm-3m,full_Heusler_L21,,"[""Dy"", ""In"", ""Pd"", ""Pd""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy1In1Pd2_ICSD_103207,,Materials Project,https://next-gen.materialsproject.org/materials/mp-30606,"Materials Project (OPTIMADE, keyless)",mp-30606,False,stoichiometric,DyInPd2
ErInAg2,0.905129,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.93058,225.0,Fm-3m,full_Heusler_L21,,"[""Er"", ""In"", ""Ag"", ""Ag""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2Er1In1_ICSD_58254,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18582.xml,JARVIS-DFT (NIST),JVASP-18582,False,stoichiometric,ErInAg2
ErInAu2,0.877964,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.94525,225.0,Fm-3m,full_Heusler_L21,,"[""Er"", ""In"", ""Au"", ""Au""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Au2Er1In1_ICSD_58449,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18603.xml,JARVIS-DFT (NIST),JVASP-18603,False,stoichiometric,ErInAu2
ErInCu2,3.42503,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.59107,225.0,Fm-3m,full_Heusler_L21,,"[""Er"", ""In"", ""Cu"", ""Cu""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2Er1In1_ICSD_102885,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-15407.xml,JARVIS-DFT (NIST),JVASP-15407,False,stoichiometric,ErInCu2
ErSnPd2,1.98222,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.70879,225.0,Fm-3m,full_Heusler_L21,,"[""Er"", ""Sn"", ""Pd"", ""Pd""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er1Pd2Sn1_ICSD_103283,,Materials Project,https://next-gen.materialsproject.org/materials/mp-5850,"Materials Project (OPTIMADE, keyless)",mp-5850,False,stoichiometric,ErSnPd2
FeSiRu2,17.4881,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.8762,225.0,Fm-3m,full_Heusler_L21,,"[""Fe"", ""Si"", ""Ru"", ""Ru""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Fe1Ru2Si1_ICSD_53525,,Materials Project,https://next-gen.materialsproject.org/materials/mp-3464,"Materials Project (OPTIMADE, keyless)",mp-3464,False,stoichiometric,FeSiRu2
FeSnRu2,6.25432,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.22643,225.0,Fm-3m,full_Heusler_L21,,"[""Fe"", ""Sn"", ""Ru"", ""Ru""]","[[0.0, 1e-05, 0.0], [0.5, 0.5, 0.5], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Fe1Ru2Sn1_ICSD_103615,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-51470.xml,JARVIS-DFT (NIST),JVASP-51470,False,stoichiometric,FeSnRu2
GaFeCo2,20.0452,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.70631,225.0,Fm-3m,full_Heusler_L21,,"[""Ga"", ""Fe"", ""Co"", ""Co""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Fe1Ga1_ICSD_102386,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18665.xml,JARVIS-DFT (NIST),JVASP-18665,False,stoichiometric,GaFeCo2
GaFeNi2,3.80415,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.74381,225.0,Fm-3m,full_Heusler_L21,,"[""Ga"", ""Fe"", ""Ni"", ""Ni""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Fe1Ga1Ni2_ICSD_187492,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-35725.xml,JARVIS-DFT (NIST),JVASP-35725,False,stoichiometric,GaFeNi2
HfAlAu2,1.29073,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.62399,225.0,Fm-3m,full_Heusler_L21,,"[""Hf"", ""Al"", ""Au"", ""Au""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Au2Hf1_ICSD_57503,,Materials Project,https://next-gen.materialsproject.org/materials/mp-10872,"Materials Project (OPTIMADE, keyless)",mp-10872,False,stoichiometric,HfAlAu2
HfAlCo2,61.6353,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.0193,225.0,Fm-3m,full_Heusler_L21,,"[""Hf"", ""Al"", ""Co"", ""Co""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Co2Hf1_ICSD_110809,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-96779.xml,JARVIS-DFT (NIST),JVASP-96779,False,stoichiometric,HfAlCo2
HfAlCu2,6.12275,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.20895,225.0,Fm-3m,full_Heusler_L21,,"[""Hf"", ""Al"", ""Cu"", ""Cu""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Cu2Hf1_ICSD_185283,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-16363.xml,JARVIS-DFT (NIST),JVASP-16363,False,stoichiometric,HfAlCu2
HfAlNi2,3.56834,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.06727,225.0,Fm-3m,full_Heusler_L21,,"[""Ni"", ""Ni"", ""Hf"", ""Al""]","[[0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Hf1Ni2_ICSD_57901,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-190435.xml,JARVIS-DFT (NIST),JVASP-190435,False,stoichiometric,HfAlNi2
HfAlPd2,0.71177,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.41974,225.0,Fm-3m,full_Heusler_L21,,"[""Hf"", ""Al"", ""Pd"", ""Pd""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Hf1Pd2_ICSD_57906,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-17419.xml,JARVIS-DFT (NIST),JVASP-17419,False,stoichiometric,HfAlPd2
HfCo2Sn,8.32087,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.23689,225.0,Fm-3m,full_Heusler_L21,,"[""Hf"", ""Co"", ""Co"", ""Sn""]","[[0.5, 0.5, 0.5], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.0, 0.0, 0.0]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Hf1Sn1_ICSD_102483,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-17809.xml,JARVIS-DFT (NIST),JVASP-17809,False,stoichiometric,HfCo2Sn
HfCuHg2,0.638006,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.70742,216.0,F-43m,inverse_Heusler_XA,,"[""Hf"", ""Cu"", ""Hg"", ""Hg""]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu1Hf1Hg2_ICSD_102969,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18679.xml,JARVIS-DFT (NIST),JVASP-18679,False,stoichiometric,HfCuHg2
HfGaCo2,18.1245,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.97707,225.0,Fm-3m,full_Heusler_L21,,"[""Hf"", ""Ga"", ""Co"", ""Co""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Ga1Hf1_ICSD_102433,,Materials Project,https://next-gen.materialsproject.org/materials/mp-3576,"Materials Project (OPTIMADE, keyless)",mp-3576,False,stoichiometric,HfGaCo2
HfGaNi2,0.716183,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.06763,225.0,Fm-3m,full_Heusler_L21,,"[""Hf"", ""Ga"", ""Ni"", ""Ni""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ga1Hf1Ni2_ICSD_103734,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-15219.xml,JARVIS-DFT (NIST),JVASP-15219,False,stoichiometric,HfGaNi2
HfInAu2,1.44263,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.752007090058482,225.0,,full_L21,,,,C,primitive->conventional (x sqrt2),AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Au2Hf1In1_ICSD_58472,,AFLOW,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Au2Hf1In1_ICSD_58472,AFLOW_AGL,aflow:b70cd3a6f42425de,False,stoichiometric,HfInAu2
HfInCu2,4.78808,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.38433,225.0,Fm-3m,full_Heusler_L21,,"[""Hf"", ""Cu"", ""Cu"", ""In""]","[[0.75, 0.75, 0.75], [1.0, 0.0, 1.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2Hf1In1_ICSD_54594,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-189550.xml,JARVIS-DFT (NIST),JVASP-189550,False,stoichiometric,HfInCu2
HfInNi2,5.06415,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.26891,225.0,Fm-3m,full_Heusler_L21,,"[""Hf"", ""In"", ""Ni"", ""Ni""]","[[0.49999, 0.5, 0.5], [0.0, 0.0, 1.0], [0.75, 0.75001, 0.75], [0.25, 0.24999, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf1In1Ni2_ICSD_54595,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-51568.xml,JARVIS-DFT (NIST),JVASP-51568,False,stoichiometric,HfInNi2
HfNi2Sn,5.13884,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.27266,225.0,Fm-3m,full_Heusler_L21,,"[""Hf"", ""Ni"", ""Ni"", ""Sn""]","[[0.5, 0.5, 0.5], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.0, 0.0, 0.0]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf1Ni2Sn1_ICSD_104250,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-15455.xml,JARVIS-DFT (NIST),JVASP-15455,False,stoichiometric,HfNi2Sn
HoInAg2,0.995523,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.94739,225.0,Fm-3m,full_Heusler_L21,,"[""Ho"", ""In"", ""Ag"", ""Ag""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2Ho1In1_ICSD_58280,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18584.xml,JARVIS-DFT (NIST),JVASP-18584,False,stoichiometric,HoInAg2
HoInAu2,0.966895,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.96227,225.0,Fm-3m,full_Heusler_L21,,"[""Ho"", ""In"", ""Au"", ""Au""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Au2Ho1In1_ICSD_58486,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18610.xml,JARVIS-DFT (NIST),JVASP-18610,False,stoichiometric,HoInAu2
HoInCu2,3.45826,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.60281,225.0,Fm-3m,full_Heusler_L21,,"[""Ho"", ""In"", ""Cu"", ""Cu""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2Ho1In1_ICSD_102979,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18683.xml,JARVIS-DFT (NIST),JVASP-18683,False,stoichiometric,HoInCu2
HoSnPd2,1.92516,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.76387,225.0,Fm-3m,full_Heusler_L21,,"[""Ho"", ""Sn"", ""Pd"", ""Pd""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho1Pd2Sn1_ICSD_104437,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18723.xml,JARVIS-DFT (NIST),JVASP-18723,False,stoichiometric,HoSnPd2
InFeCo2,9.14975,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.96621,225.0,Fm-3m,full_Heusler_L21,,"[""In"", ""Fe"", ""Co"", ""Co""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2Fe1In1_ICSD_102392,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18006.xml,JARVIS-DFT (NIST),JVASP-18006,False,stoichiometric,InFeCo2
LaInAg2,0.956782,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,7.22331,225.0,Fm-3m,full_Heusler_L21,,"[""La"", ""In"", ""Ag"", ""Ag""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2In1La1_ICSD_58290,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-79268.xml,JARVIS-DFT (NIST),JVASP-79268,False,stoichiometric,LaInAg2
LiAg2Ge,1.19221,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.4246,225.0,Fm-3m,full_Heusler_L21,,"[""Li"", ""Ag"", ""Ag"", ""Ge""]","[[0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.0, 0.0, 0.0]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2Ge1Li1_ICSD_85307,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-16156.xml,JARVIS-DFT (NIST),JVASP-16156,False,stoichiometric,LiAg2Ge
